144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: St Michaels Uniting Church Adminstration || Industry (ANZSIC4) code: 9540 || Industry (ANZSIC4) description: Religious Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Lotto off Collins || Industry (ANZSIC4) code: 4244 || Industry (ANZSIC4) description: Newspaper and Book Retailing || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Interpark Australia || Industry (ANZSIC4) code: 9533 || Industry (ANZSIC4) description: Parking Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Cornerstone Group || Industry (ANZSIC4) code: 7211 || Industry (ANZSIC4) description: Employment Placement and Recruitment Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Korn Ferry || Industry (ANZSIC4) code: 7211 || Industry (ANZSIC4) description: Employment Placement and Recruitment Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9449387 -37.81397639 0.0005 --> Census year: 2018 || Block ID: 1102 || Property ID: 609314 || Base property ID: 609314 || CLUE small area: Docklands || Trading Name: Trojan Security || Industry (ANZSIC4) code: 6962 || Industry (ANZSIC4) description: Management Advice and Other Consulting Services || x coordinate: 144.944939 || y coordinate: -37.813976 || Location: (-37.81397639, 144.9449387) ||

